tag,equipment,VR,VY,VB,IR,IY,IB,temperature,MW,MVAR,MVA,fault,reason,protection,load_percent
4LP-611B,Lighting,392.1098673,407.0250407,405.750455,45.78441965,43.32057291,76.17630178,70.24346424,0.093,0.049,0.142,Normal,Normal operation,None,55.09376478
4SB-589A,Switchboard,399.6491523,394.3046953,409.5527726,117.8455693,117.5738708,124.3398958,66.30415627,0.054,0.02,0.074,Normal,Normal operation,None,119.9197786
2PM-388A,Motor,394.3037706,400.8509264,393.9904578,66.48832358,75.74925194,116.8294909,30.50613387,0.036,0.015,0.051,Normal,Normal operation,None,86.35568881
1G-133B,Generator,396.0330582,385.0994915,419.8107185,81.46111925,82.48309753,144.4719422,78.88661562,0.051,0.02,0.071,Normal,Normal operation,None,102.8053863
4PT-552B,PT,397.8250381,388.2413125,419.0564226,130.7688833,41.55813556,50.28787365,53.32972787,0.062,0.032,0.094,Normal,Normal operation,None,74.20496417
2BB-591A,Battery,394.8391434,382.4889576,402.2677159,37.76704314,65.74363921,71.44620155,38.1220267,0.044,0.05,0.094,Normal,Normal operation,None,58.3189613
5BB-839A,Battery,415.0876688,419.3095121,408.3924041,105.9598879,58.03940086,89.76984334,80.31302564,0.079,0.008,0.087,Normal,Normal operation,None,84.58971068
4SA-335,SurgeArrestor,414.380287,393.9785093,383.3699906,112.2000422,53.60603137,110.9116543,41.5331777,0.021,0.032,0.053,Normal,Normal operation,None,92.23924262
3SA-928B,SurgeArrestor,404.9410869,389.694538,387.1024662,62.58899181,74.79990931,74.78215811,42.4257863,0.075,0.017,0.092,Normal,Normal operation,None,70.72368641
5CT-755B,CT,417.9663966,414.8713117,415.5673084,48.8831219,104.4289368,38.72240445,83.23881546,0.012,0.048,0.06,Normal,Normal operation,None,64.01148771
2TR-397A,Transformer,408.8734909,397.4971216,385.7062737,22.32204215,37.46161946,149.0644156,36.68220227,0.064,0.046,0.11,Normal,Normal operation,None,69.61602574
1CAP-526,CapacitorBank,412.1152236,411.0901493,401.2303446,21.85401139,73.7817471,133.5664045,83.45112254,0.042,0.012,0.054,Normal,Normal operation,None,76.40072099
5CB-894A,CircuitBreaker,385.1127665,400.6567305,397.6901805,91.48615436,91.5024791,68.67781654,79.92400434,0.011,0.041,0.052,Normal,Normal operation,None,83.88881667
2CB-868,CircuitBreaker,393.4243416,405.5518726,384.5656056,116.0762648,32.6058537,50.97560938,88.79908992,0.084,0.033,0.117,Normal,Normal operation,None,66.55257595
6BB-892B,Battery,388.5934291,381.2202901,399.4932315,83.14754466,26.63508377,103.4232294,65.148803,0.043,0.025,0.068,Normal,Normal operation,None,71.06861929
3SNS-730,Sensor,387.5024202,386.3156269,384.5790359,145.9629989,20.87462901,105.9137607,49.93048414,0.065,0.045,0.11,Normal,Normal operation,None,90.91712955
7PM-448B,Motor,385.6886419,392.5101448,417.3502938,85.56471904,74.1589242,131.6420052,64.45623081,0.083,0.039,0.122,Normal,Normal operation,None,97.1218828
3LP-433,Lighting,381.1475433,381.6882398,418.8567951,142.2428713,48.23540283,34.2409009,41.20369324,0.085,0.036,0.121,Normal,Normal operation,None,74.90639169
5SNS-583B,Sensor,412.5812088,395.8472964,410.4141766,117.8713985,81.43463115,121.1258212,81.69506155,0.068,0.026,0.094,Normal,Normal operation,None,106.8106169
4UPS-104B,UPS,417.1775001,397.7115211,386.1814003,86.07431724,76.8992298,112.8451412,92.24496815,0.088,0.015,0.103,Overheating,High temperature,Thermal,91.93956276
2PT-868A,PT,411.6331473,417.4099112,418.202803,29.55915665,55.14016973,67.86454538,45.40729689,0.06,0.041,0.101,Normal,Normal operation,None,50.85462392
4CB-849A,CircuitBreaker,390.881211,410.286733,401.3486288,70.73509394,78.58628129,142.4801148,71.54668233,0.099,0.023,0.122,Normal,Normal operation,None,97.26716335
3SB-915B,Switchboard,406.345642,390.5856457,419.80088,24.67067801,89.5796066,149.5161786,68.77708693,0.063,0.04,0.103,Normal,Normal operation,None,87.92215441
5PT-161B,PT,391.3313035,409.7874369,392.2911568,75.28993351,24.01579044,136.9354344,58.88417644,0.022,0.023,0.045,Normal,Normal operation,None,78.7470528
5BB-542A,Battery,385.284123,404.1802117,397.4141266,68.8301073,128.564072,58.28055506,52.92286872,0.033,0.013,0.046,Normal,Normal operation,None,85.22491145
7G-365,Generator,416.851593,404.6017623,393.5580444,65.17951722,103.5911531,80.10769809,36.26717827,0.048,0.035,0.083,Normal,Normal operation,None,82.95945613
1LP-598A,Lighting,380.6667506,418.8677677,383.2055663,22.87177542,40.87419684,124.4633256,43.78964569,0.013,0.025,0.038,Normal,Normal operation,None,62.73643262
4SNS-577A,Sensor,419.1599288,391.7911708,398.5589212,57.61418096,32.10929764,62.58450581,43.07903741,0.03,0.047,0.077,Normal,Normal operation,None,50.76932814
6CB-805A,CircuitBreaker,407.2075277,405.3341217,388.444533,115.2523186,130.7297664,55.47344249,62.12025274,0.028,0.011,0.039,Normal,Normal operation,None,100.4851758
1LP-970,Lighting,408.8565223,391.255662,383.6253135,119.9457411,133.3548266,103.5756426,46.23961573,0.096,0.047,0.143,Normal,Normal operation,None,118.9587368
3CT-501A,CT,412.6783118,390.4456182,416.0237904,65.56637506,137.284871,109.1342049,93.1248921,0.071,0.03,0.101,Overheating,High temperature,Thermal,103.9951503
5CAP-917A,CapacitorBank,393.7524245,388.3743076,398.8374823,88.29057566,117.9097056,29.1033964,72.47724746,0.054,0.011,0.065,Normal,Normal operation,None,78.43455923
1PT-794A,PT,384.6913552,380.0480233,392.5004037,121.8567292,132.7923489,106.7477083,77.96402471,0.1,0.041,0.141,Overload,Load exceeded limit,Thermal,120.4655955
4G-493B,Generator,386.6205934,417.2053636,397.214216,124.8679689,95.96360946,107.2841733,38.77200768,0.022,0.047,0.069,Normal,Normal operation,None,109.3719172
4VFD-211,VFD,400.534394,418.3228007,416.597897,25.77454553,65.25411468,149.3550052,68.87542846,0.054,0.029,0.083,Normal,Normal operation,None,80.12788848
1SB-567B,Switchboard,398.5757326,399.7048023,385.479194,99.14314057,91.85453428,107.2393127,31.63441484,0.085,0.049,0.134,Normal,Normal operation,None,99.4123292
7CB-838B,CircuitBreaker,401.9484187,411.7001243,387.2370472,92.21922856,148.8163158,21.62489481,34.4498083,0.019,0.007,0.026,Normal,Normal operation,None,87.55347974
4UPS-850A,UPS,413.7360833,395.8328745,393.1544449,50.56814214,44.56974975,139.8092789,97.08068362,0.085,0.023,0.108,Overheating,High temperature,Thermal,78.3157236
7PT-656,PT,414.2161938,410.2452968,394.3737058,128.2093748,52.15307944,106.3482102,66.35625328,0.054,0.044,0.098,Normal,Normal operation,None,95.5702215
1CAP-265B,CapacitorBank,412.5078528,403.7156385,418.5492651,118.1464871,118.916488,96.0827042,63.98576879,0.099,0.019,0.118,Normal,Normal operation,None,111.0485598
7SA-916B,SurgeArrestor,380.6204035,419.3273395,414.4104026,84.38530745,42.51917541,42.82993074,55.50221138,0.055,0.023,0.078,Normal,Normal operation,None,56.57813787
3G-495A,Generator,386.8400232,381.7343596,393.3237209,114.6796152,27.50043469,120.3080873,69.21764633,0.066,0.032,0.098,Normal,Normal operation,None,87.49604573
1PT-616,PT,380.654884,412.9956492,409.591137,49.9934169,56.46685055,95.93718568,68.33745157,0.042,0.036,0.078,Normal,Normal operation,None,67.46581771
2LP-421,Lighting,394.1447626,403.9123917,392.4222799,42.82857423,53.0350832,44.3814921,34.89950669,0.069,0.013,0.082,Normal,Normal operation,None,46.74838318
1CAP-724A,CapacitorBank,397.6093653,405.0610308,413.9106887,117.7185066,72.30129745,128.1728204,77.85004957,0.058,0.038,0.096,Normal,Normal operation,None,106.0642081
1CAP-464A,CapacitorBank,398.8000566,399.7071126,380.6738518,138.6033309,60.61618296,98.87211833,61.80975282,0.016,0.042,0.058,Normal,Normal operation,None,99.36387738
6PT-308A,PT,418.1026948,412.7461948,418.5841793,128.5332355,116.3171423,147.9417842,87.55247101,0.048,0.043,0.091,Overload,Load exceeded limit,Thermal,130.9307207
2SA-569,SurgeArrestor,396.5344359,408.2681005,391.8089362,23.0961791,102.9617522,112.8193909,59.00239485,0.031,0.031,0.062,Normal,Normal operation,None,79.62577409
6LP-928,Lighting,390.3775103,398.7663396,402.0562298,81.77162791,20.43603299,73.67462038,55.49910277,0.038,0.047,0.085,Normal,Normal operation,None,58.62742709
2SB-353A,Switchboard,405.9580305,385.3662847,413.6736818,70.90386971,40.71936559,96.83191252,84.34927824,0.047,0.035,0.082,Normal,Normal operation,None,69.48504928
7VFD-420B,VFD,405.1425124,394.0904594,404.3735573,149.8933405,41.5127707,51.87940749,65.61950327,0.095,0.048,0.143,Normal,Normal operation,None,81.09517289
7PT-583B,PT,391.0955595,407.5250283,406.3072954,71.981358,87.02572793,63.50017744,47.44309879,0.036,0.04,0.076,Normal,Normal operation,None,74.16908779
5PT-837,PT,402.7738733,413.0209515,382.1229551,90.94195683,84.09928571,26.97549303,36.0837787,0.024,0.045,0.069,Normal,Normal operation,None,67.33891186
